aai,އާއި
adhi,އަދި
ah,އަށް
aharah,އަހަރަށް
akah,އަކަށް
beynunkurun,ބޭނުންކުރުން
boegen,ބޯއެން
career,ކަރީރާ
chandler,ޗެނޑދެ
clooney,ކްލޫނީ
deepika,ޑީޕިކާ
dhamahattan,ދަމަހައްޓަން
dhigu,ދިގު
dhuvasvee,ދުވަސްވީ
eh,އެއް
eri,އެރި
fahu,ފަހު
faisaa,ފައިސާ
faraathah,ފަރާތަށް
faraathugai,ފަރާތުގައި
fen,ފެން
feshunee,ފެށުނީ
film,ފިލްމު
firihenunnakah,ފިރިހެނުންނަކަށް
fonuvaali,ފޮނުވާލި
gai,ގައި
gai,ގައި
gamuga,ގަމުގ
george,ގިއާެ
gina,ގިނަ
hikeytha,ހިކޭތަ
himaayaiy,ހިމާޔަތް
hoonu,ހޫނު
huddha,ހުއްދަ
hushahelhi,ހުށަހެޅި
irumathee,އިރަމަތީ
ithuru,އިތުރު
kaiveni,ކައިވެނި
king,ކިންގް
kulhen,ކުޅެން
kurimatheegai,ކުރިމަތީގައި
kurumah,ކުރުމަށް
kyle,ކަލްލީ
laamu,ލާމު
lanee,ލަނީ
league,ލީގު
loaiybakun,ލޯތްބަކުން
male',މާލެ
manaakoffi,މަނާކޮށްފި
maruvejje,މަރުވެއްޖެ
meehaku,މީހަކު
mi,މި
miskiy,މިސްކިތ
missile,މިސިއިލް
miuzikee,މިއުޒީކްކާ
moodhah,މޫދަށް
nudhin,ނުދިން
nufennaane,ނުފެންނާނެ
nufudhey,ނުފުދޭ
oiy,އޮތް
othas,އޮތަސަ
party,ޕާޓީ
premier,ޕްރިމިއާ
raihan,ރައިހަން
ranveer,ރަންވީރު
role,ރޯލް
russia,ރަޝިޔާ
salman,ސަލްމާން
soikoffi,ސޮއިކޮށްފި
syria,ސީރިއާ
telegram,ޓެލަގްރާމް
thee,ތީ
thotteh,ތޮޓްޓެއް
ufaddhan,އުފައްދަން
ulhunu,އުޅުނު
umurun,އުމުރުން
ves,ވެސް
vure,ވުރެ
wolves,ވޮލްވްް
yaarakee,ޔާރަކީ
